Row,fix_number,mean_distance_nm,median_distance_nm,STD_distance,SE_distance
Exp_FR_search__GR_fix,42429,63.7536543717247,63.1579258838104,28.2543677823486,0.137168438884432
Exp_GR_search__FR_fix,42550,63.7987418721023,63.250968588141,28.2405224867917,0.136906146098878
Sim_FR_search__GR_fix,123166,63.4836118337461,63.1585283226926,28.2635878462278,0.0805344825738471
Sim_GR_search__FR_fix,123166,63.4836118337461,63.1585283226926,28.2635878462278,0.0805344825738471
