Row,x_mean_position_um,y_mean_position_um,x_median_position_um,y_median_position_um,x_STD_position,y_STD_position,x_SE_position,y_SE_position
FR_search__GR_fix,0.00269094145954742,-0.000775817466167819,0.002,-0.001,0.0496638721501526,0.0507634215829729,0.000130967686031845,0.000133867287666988
GR_search__FR_fix,-0.00269094145954742,0.000775817466167819,-0.002,0.001,0.0496638721501526,0.0507634215829729,0.000130967686031845,0.000133867287666988
